id,title,genres,year,lgbt_subject,queer_subject,romance_subject
198902277,The Wedding People,"Fiction, Romance, Audiobook, Contemporary, Literary Fiction, Chick Lit, Humor, ...more",2024,0,0,1
208931300,Intermezzo,"Fiction, Contemporary, Literary Fiction, Romance, Audiobook, Ireland, Irish Literature, ...more",2024,0,0,1
133938826,Welcome to the Hyunam-Dong Bookshop,"Contemporary, Books About Books, Audiobook, Cozy, Literary Fiction, Slice Of Life, Adult, ...more",2024,0,0,0
195430687,Blue Sisters,"Fiction, Contemporary, Literary Fiction, Audiobook, Family, Adult, LGBT, ...more",2024,1,0,0
208516656,Here One Moment,"Fiction, Audiobook, Mystery, Contemporary, Thriller, Mystery Thriller, Adult, ...more",2024,0,0,0
200484931,Swan Song,"Fiction, Romance, Audiobook, Mystery, Chick Lit, Contemporary, Adult Fiction, ...more",2024,0,0,1
198688460,Good Material,"Fiction, Romance, Audiobook, Contemporary, Literary Fiction, Adult, Humor, ...more",2024,0,0,1
200987323,I Hope This Finds You Well,"Fiction, Romance, Contemporary, Audiobook, Humor, Chick Lit, Adult, ...more",2024,0,0,1
199534613,Margo's Got Money Troubles,"Fiction, Audiobook, Contemporary, Literary Fiction, Humor, Adult, Chick Lit, ...more",2024,0,0,0
139400713,Martyr!,"Fiction, Literary Fiction, Poetry, Contemporary, LGBT, Audiobook, Queer, ...more",2024,1,1,0
174147294,Wandering Stars,"Fiction, Historical Fiction, Audiobook, Indigenous, Literary Fiction, Native American, Historical, ...more",2024,0,0,0
62929342,Real Americans,"Fiction, Historical Fiction, Audiobook, Literary Fiction, Contemporary, Magical Realism, Family, ...more",2024,0,0,0
200028726,Sandwich,"Fiction, Audiobook, Contemporary, Family, Literary Fiction, Adult Fiction, Adult, ...more",2024,0,0,0
204811915,Tell Me Everything,"Fiction, Literary Fiction, Audiobook, Contemporary, Mystery, Adult Fiction, Family, ...more",2024,0,0,0
197798168,All Fours,"Fiction, Audiobook, Contemporary, Literary Fiction, LGBT, Queer, Novels, ...more",2024,1,1,0
205478762,Playground,"Fiction, Science Fiction, Literary Fiction, Audiobook, Nature, Contemporary, Environment, ...more",2024,0,0,0
199344873,Same As It Ever Was,"Fiction, Audiobook, Contemporary, Literary Fiction, Family, Adult Fiction, Drama, ...more",2024,0,0,0
199793431,The Mighty Red,"Fiction, Historical Fiction, Literary Fiction, Audiobook, Indigenous, Native American, Contemporary, ...more",2024,0,0,0
176443453,Greta & Valdin,"Fiction, Queer, LGBT, Contemporary, Literary Fiction, Romance, Audiobook, ...more",2024,1,1,1
220572240,Colored Television,"Fiction, Literary Fiction, Contemporary, Audiobook, Race, Humor, African American, ...more",2024,0,0,0
127305853,The Women,"Historical Fiction, Fiction, Audiobook, Historical, War, Book Club, Adult, ...more",2024,0,0,0
173754979,James,"Fiction, Historical Fiction, Audiobook, Literary Fiction, Historical, Race, Retellings, ...more",2024,0,0,0
112975658,The Frozen River,"Historical Fiction, Fiction, Mystery, Audiobook, Historical, Thriller, Mystery Thriller, ...more",2024,0,0,0
207909446,The Booklover's Library,"Historical Fiction, Fiction, Books About Books, Historical, World War II, Audiobook, War, ...more",2024,0,0,0
199798217,The Lion Women of Tehran,"Historical Fiction, Fiction, Audiobook, Historical, Iran, Coming Of Age, Literary Fiction, ...more",2024,0,0,0
203164368,By Any Other Name,"Historical Fiction, Fiction, Audiobook, Historical, Contemporary, Romance, Feminism, ...more",2024,0,0,1
181110045,The Briar Club,"Historical Fiction, Fiction, Mystery, Audiobook, Historical, Thriller, Mystery Thriller, ...more",2024,0,0,0
199223201,Husbands & Lovers,"Historical Fiction, Romance, Fiction, Audiobook, Historical, Contemporary, Chick Lit, ...more",2024,0,0,1
217362723,The Seventh Veil of Salome,"Historical Fiction, Fiction, Historical, Mystery, Romance, Audiobook, Adult, ...more",2024,0,0,1
127306192,Anita de Monte Laughs Last,"Fiction, Historical Fiction, Audiobook, Mystery, Art, Contemporary, Literary Fiction, ...more",2024,0,0,0
202468422,There Are Rivers in the Sky,"Historical Fiction, Fiction, Literary Fiction, Historical, Contemporary, Audiobook, British Literature, ...more",2024,0,0,0
202257499,Behind Every Good Man,"Historical Fiction, Fiction, Romance, Audiobook, Chick Lit, Historical, Humor, ...more",2024,0,0,1
199798868,Long Island,"Fiction, Historical Fiction, Ireland, Audiobook, Literary Fiction, Irish Literature, Historical, ...more",2024,0,0,0
